-----------------------------------------
| author                        | count |
=========================================
| "Blokhina, N. I."             | 2     |
| "Bergstrom, J."               | 2     |
| "Meisel, S."                  | 3     |
| "Haywood, A. M."              | 6     |
| "Li, Q."                      | 7     |
| "Hyzny, M."                   | 2     |
| "Lim, J.-D."                  | 3     |
| "Delclos, X."                 | 2     |
| "Archibald, J.D. "            | 2     |
| "Fox, R.C."                   | 4     |
| "Hong, Y. T."                 | 2     |
| "Foote, M."                   | 2     |
| "ORR, P. J."                  | 2     |
| "Biswas, S.P."                | 2     |
| "Sun, Z.-Y."                  | 2     |
| "DONOVAN, S. K."              | 7     |
| "Herrle, J. O."               | 2     |
| "Hull, D. M."                 | 2     |
| "Herman, A. B."               | 2     |
| "Werner, W."                  | 3     |
| "Rigo, M."                    | 2     |
| "Tomida, Y."                  | 5     |
| "Kaiho, K."                   | 2     |
| "Steuber, T."                 | 2     |
| "DA SILVA, A. C."             | 2     |
| "ZATO, M."                    | 2     |
| "BJUNE, A. E."                | 2     |
| "Soto-Acuna, S."              | 2     |
| "Zhang, K."                   | 2     |
| "Ramanivosoa, B."             | 2     |
| "Sashida, K."                 | 2     |
| "Maiorano, P."                | 2     |
| "Broutin, J."                 | 3     |
| "Koch, R."                    | 2     |
| "Clausen, S."                 | 2     |
| "Sanchez, S."                 | 2     |
| "Kolar-Jurkovsek, T."         | 4     |
| "Schlagintweit, F."           | 3     |
| "Molchanoff, S."              | 2     |
| "Smith, T."                   | 4     |
| "Jacobs, B. F."               | 2     |
| "Luciani, V."                 | 2     |
| "Girty, G. H."                | 2     |
| "Lopez-Garcia, J. M."         | 2     |
| "Yang, Q."                    | 3     |
| "Rogov, M. A."                | 2     |
| "De Boer, J. Z."              | 3     |
| "Setoyama, E."                | 2     |
| "Murray, A."                  | 2     |
| "SMITH, M. P."                | 2     |
| "Hu, Y.-s."                   | 2     |
| "Wilson, M."                  | 2     |
| "Hu, S."                      | 2     |
| "Gamboa, G."                  | 2     |
| "da Costa, R.M."              | 2     |
| "Marx, S. K."                 | 2     |
| "Hu, B."                      | 2     |
| "Boomer, I."                  | 2     |
| "Cuenca-Bescos, G."           | 3     |
| "McCann, T."                  | 4     |
| "Streng, M."                  | 2     |
| "Reolid, M."                  | 2     |
| "Lucas, S. G."                | 6     |
| "Zhang, S.-K."                | 2     |
| "Berne, S."                   | 2     |
| "Wang, W."                    | 5     |
| "Tazawa, J."                  | 2     |
| "Liu, X."                     | 3     |
| "Huang, H."                   | 2     |
| "Neraudeau, D."               | 3     |
| "Ivanov, A."                  | 2     |
| "Cook, T."                    | 2     |
| "Liu, G."                     | 2     |
| "Zuschin, M."                 | 2     |
| "Concheyro, A."               | 3     |
| "Giuntelli, P."               | 2     |
| "Martini, R."                 | 3     |
| "Zhao, Y."                    | 4     |
| "Li, P."                      | 4     |
| "Schneider, J. W."            | 2     |
| "Kuiper, K. F."               | 2     |
| "Utescher, T."                | 12    |
| "Tiwari, A. N."               | 2     |
| "Snetkov, P. B."              | 2     |
| "Kuss, J."                    | 2     |
| "McInerney, F.A."             | 2     |
| "Vullo, R."                   | 2     |
| "Salamon, M.A. "              | 2     |
| "Molnar, R."                  | 3     |
| "Corradini, C."               | 2     |
| "Hernandez-Almeida, I."       | 2     |
| "Zhang, H.-c."                | 2     |
| "Fursich, F.T. "              | 2     |
| "Mitra, G."                   | 2     |
| "Pomar, L."                   | 2     |
| "Bao, R."                     | 2     |
| "Lunt, D. J."                 | 4     |
| "Xie, S."                     | 2     |
| "Jimenez-Sanchez, A."         | 2     |
| "Hampe, O."                   | 3     |
| "Witkowski, J."               | 3     |
| "Moore, F."                   | 2     |
| "Chablais, J."                | 2     |
| "Powers, L. A."               | 2     |
| "Germain, D."                 | 3     |
| "Simon, M. S."                | 2     |
| "Andrews, J. T."              | 2     |
| "Stilwell, J."                | 2     |
| "Palike, H."                  | 2     |
| "Izukura, M."                 | 2     |
| "Ruban, D. A."                | 4     |
| "Fiske, P. S."                | 2     |
| "Grein, M."                   | 2     |
| "Rohl, U."                    | 2     |
| "Bachmann, G. H."             | 2     |
| "Twitchett, R. J."            | 3     |
| "Siverson, M."                | 2     |
| "Struck, U."                  | 4     |
| "Oujaa, A."                   | 2     |
| "Ludvigson, G. A."            | 4     |
| "Fornaciari, E."              | 2     |
| "Ni, X.-J."                   | 2     |
| "Carpenter, K."               | 2     |
| "Sakai, S."                   | 3     |
| "Loi, A."                     | 3     |
| "Csank, A. Z."                | 2     |
| "Lazarev, S. S."              | 2     |
| "Servais, T."                 | 6     |
| "Muttoni, G."                 | 2     |
| "Cobban, W. A."               | 2     |
| "Jackson, F."                 | 2     |
| "Kubo, T."                    | 2     |
| "Brandoni, D."                | 2     |
