--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| title                                                                                                                                                                                                                                                                                                                                                                | count |
================================================================================================================================================================================================================================================================================================================================================================================
| "The Medieval Climate Anomaly and Little Ice Age in Chesapeake Bay and the North Atlantic Ocean"                                                                                                                                                                                                                                                                     | 6     |
| "A second Cretaceous ornithuromorph bird from the Changma Basin, Gansu Province, northwestern China"                                                                                                                                                                                                                                                                 | 6     |
| "Late Quaternary microfaunas and paleoenvironmental changes recorded in core sediments of the Pearl River Delta, South China"                                                                                                                                                                                                                                        | 6     |
| "The Surface Rupture of the 1957 Gobi-Altay, Mongolia, Earthquake"                                                                                                                                                                                                                                                                                                   | 8     |
| "Human response to Palaeoenvironmental change and the question of temporal scale"                                                                                                                                                                                                                                                                                    | 6     |
| "Spatial changes in the water quality of Itajai-Acu Fluvial-Estuarine System, Santa Catarina, Brazil"                                                                                                                                                                                                                                                                | 6     |
| "A new anthracotheriid artiodactyl from the Eocene Pondaung Formation of Myanmar"                                                                                                                                                                                                                                                                                    | 6     |
| "High-resolution chemo- and biostratigraphic records of the Early Aptian oceanic anoxic event in Cantabria (N Spain): Palaeoceanographic and palaeoclimatic implications"                                                                                                                                                                                            | 7     |
| "Dental mesowear analysis of the late Miocene Bovidae from Toros-Menalla (Chad) and early hominid habitats in Central Africa"                                                                                                                                                                                                                                        | 6     |
| "A middle Cambrian fauna of skeletal fossils from the Kuonamka Formation, northern Siberia"                                                                                                                                                                                                                                                                          | 6     |
| "The Maastrichtian - Danian at General Roca (Patagonia, Argentina): a reappraisal of the chronostratigraphy and biostratigraphy of a type locality. (With 12 figures and 6 tables)"                                                                                                                                                                                  | 6     |
| "Glyphiteuthis rhinophora n. sp., a trachyteuthidid (Coleoidea, Cephalopoda) from the Cenomanian (Late Cretaceous) of Mexico"                                                                                                                                                                                                                                        | 6     |
| "Toarcian carbon isotope shifts and nutrient changes from the Northern margin of Gondwana (High Atlas, Morocco, Jurassic): Palaeoenvironmental implications"                                                                                                                                                                                                         | 7     |
| "Histological modifications of the rat prostate following transection of somatic and autonomic nerves"                                                                                                                                                                                                                                                               | 10    |
| "Reconstructing Neogene vegetation and climates to infer tectonic uplift in western Yunnan, China"                                                                                                                                                                                                                                                                   | 8     |
| "Macro and microminerals: are frozen fruits a good source?"                                                                                                                                                                                                                                                                                                          | 7     |
| "The Devonian nekton revolution"                                                                                                                                                                                                                                                                                                                                     | 8     |
| "Contrasting sea-surface responses between the western Mediterranean Sea and eastern subtropical latitudes of the North Atlantic during abrupt climatic events of MIS 3"                                                                                                                                                                                             | 6     |
| "Alluvial and volcanic pathways to silicified plant stems (Upper Carboniferous-Triassic) and their taphonomic and palaeoenvironmental meaning"                                                                                                                                                                                                                       | 8     |
